0: -Lorenzo: {'days_watched': 63.2, 'mean_score': 8.07, 'watching': 1, 'completed': 154, 'on_hold': 2, 'dropped': 14, 'plan_to_watch': 5, 'total_entries': 176, 'rewatched': 11, 'episodes_watched': 3961}
1: -3Span: {'days_watched': 108.5, 'mean_score': 6.77, 'watching': 11, 'completed': 274, 'on_hold': 0, 'dropped': 14, 'plan_to_watch': 29, 'total_entries': 328, 'rewatched': 28, 'episodes_watched': 6414}
2: Holf: {'days_watched': 45.9, 'mean_score': 7.37, 'watching': 1, 'completed': 168, 'on_hold': 5, 'dropped': 4, 'plan_to_watch': 322, 'total_entries': 500, 'rewatched': 0, 'episodes_watched': 2597}
3: Agabey: {'days_watched': 120.6, 'mean_score': 7, 'watching': 15, 'completed': 455, 'on_hold': 2, 'dropped': 22, 'plan_to_watch': 237, 'total_entries': 731, 'rewatched': 25, 'episodes_watched': 7430}
4: Alwacho: {'days_watched': 32.1, 'mean_score': 7.24, 'watching': 6, 'completed': 155, 'on_hold': 4, 'dropped': 11, 'plan_to_watch': 200, 'total_entries': 376, 'rewatched': 3, 'episodes_watched': 2149}
5: BarcaFox: {'days_watched': 128.1, 'mean_score': 6.41, 'watching': 3, 'completed': 370, 'on_hold': 10, 'dropped': 46, 'plan_to_watch': 506, 'total_entries': 935, 'rewatched': 79, 'episodes_watched': 7819}
6: Aviii: {'days_watched': 45.3, 'mean_score': 7.91, 'watching': 0, 'completed': 182, 'on_hold': 1, 'dropped': 5, 'plan_to_watch': 77, 'total_entries': 265, 'rewatched': 0, 'episodes_watched': 2841}
7: Cyber52: {'days_watched': 101.7, 'mean_score': 7.24, 'watching': 1, 'completed': 273, 'on_hold': 11, 'dropped': 50, 'plan_to_watch': 9, 'total_entries': 344, 'rewatched': 16, 'episodes_watched': 6069}
8: -d-a-s-h-: {'days_watched': 56.1, 'mean_score': 6.6, 'watching': 6, 'completed': 242, 'on_hold': 22, 'dropped': 48, 'plan_to_watch': 67, 'total_entries': 385, 'rewatched': 27, 'episodes_watched': 3340}
9: GNappi: {'days_watched': 136.9, 'mean_score': 6.52, 'watching': 4, 'completed': 708, 'on_hold': 0, 'dropped': 0, 'plan_to_watch': 503, 'total_entries': 1215, 'rewatched': 95, 'episodes_watched': 8249}
10: DatRandomDude: {'days_watched': 158.8, 'mean_score': 6.49, 'watching': 60, 'completed': 667, 'on_hold': 98, 'dropped': 137, 'plan_to_watch': 622, 'total_entries': 1584, 'rewatched': 7, 'episodes_watched': 9647}
11: randomman57: {'days_watched': 73.7, 'mean_score': 7.02, 'watching': 11, 'completed': 259, 'on_hold': 30, 'dropped': 8, 'plan_to_watch': 189, 'total_entries': 497, 'rewatched': 7, 'episodes_watched': 4380}
12: -DxD-: {'days_watched': 21.9, 'mean_score': 6.8, 'watching': 13, 'completed': 67, 'on_hold': 3, 'dropped': 4, 'plan_to_watch': 161, 'total_entries': 248, 'rewatched': 2, 'episodes_watched': 1320}
13: _Simpel: {'days_watched': 158.1, 'mean_score': 7.52, 'watching': 1, 'completed': 486, 'on_hold': 2, 'dropped': 1, 'plan_to_watch': 31, 'total_entries': 521, 'rewatched': 0, 'episodes_watched': 9481}
14: gh05tface: {'days_watched': 160.8, 'mean_score': 7.4, 'watching': 6, 'completed': 387, 'on_hold': 10, 'dropped': 1, 'plan_to_watch': 44, 'total_entries': 448, 'rewatched': 0, 'episodes_watched': 9488}
15: Numen: {'days_watched': 57.8, 'mean_score': 8.01, 'watching': 45, 'completed': 181, 'on_hold': 72, 'dropped': 5, 'plan_to_watch': 496, 'total_entries': 799, 'rewatched': 1, 'episodes_watched': 3633}
16: Kruemeleistee: {'days_watched': 31.2, 'mean_score': 7.73, 'watching': 5, 'completed': 118, 'on_hold': 1, 'dropped': 11, 'plan_to_watch': 48, 'total_entries': 183, 'rewatched': 0, 'episodes_watched': 1826}
17: khazanime: {'days_watched': 59.3, 'mean_score': 7.63, 'watching': 5, 'completed': 248, 'on_hold': 1, 'dropped': 2, 'plan_to_watch': 70, 'total_entries': 326, 'rewatched': 4, 'episodes_watched': 3489}
18: -KILR0Y-: {'days_watched': 5.2, 'mean_score': 7.57, 'watching': 2, 'completed': 14, 'on_hold': 2, 'dropped': 6, 'plan_to_watch': 3, 'total_entries': 27, 'rewatched': 0, 'episodes_watched': 299}
19: kiiyuu: {'days_watched': 92, 'mean_score': 7.41, 'watching': 7, 'completed': 288, 'on_hold': 3, 'dropped': 49, 'plan_to_watch': 190, 'total_entries': 537, 'rewatched': 0, 'episodes_watched': 5438}
20: Kousor: {'days_watched': 59.5, 'mean_score': 7.39, 'watching': 2, 'completed': 113, 'on_hold': 5, 'dropped': 20, 'plan_to_watch': 45, 'total_entries': 185, 'rewatched': 0, 'episodes_watched': 3571}
21: -Krysys-: {'days_watched': 127.8, 'mean_score': 6.12, 'watching': 4, 'completed': 436, 'on_hold': 2, 'dropped': 66, 'plan_to_watch': 279, 'total_entries': 787, 'rewatched': 31, 'episodes_watched': 8006}
22: LogicalCuckserve: {'days_watched': 23.4, 'mean_score': 8.3, 'watching': 0, 'completed': 89, 'on_hold': 0, 'dropped': 1, 'plan_to_watch': 0, 'total_entries': 90, 'rewatched': 0, 'episodes_watched': 1393}
23: MaJiC27: {'days_watched': 58.9, 'mean_score': 8.3, 'watching': 5, 'completed': 219, 'on_hold': 27, 'dropped': 7, 'plan_to_watch': 165, 'total_entries': 423, 'rewatched': 0, 'episodes_watched': 3574}
24: MarisaTheCube: {'days_watched': 45.4, 'mean_score': 7.17, 'watching': 4, 'completed': 330, 'on_hold': 13, 'dropped': 15, 'plan_to_watch': 112, 'total_entries': 474, 'rewatched': 17, 'episodes_watched': 2638}
25: -MrTechnique: {'days_watched': 59.9, 'mean_score': 6.92, 'watching': 10, 'completed': 194, 'on_hold': 7, 'dropped': 23, 'plan_to_watch': 190, 'total_entries': 424, 'rewatched': 3, 'episodes_watched': 3603}
26: _Mystery: {'days_watched': 109.7, 'mean_score': 8.33, 'watching': 36, 'completed': 168, 'on_hold': 7, 'dropped': 4, 'plan_to_watch': 130, 'total_entries': 345, 'rewatched': 2, 'episodes_watched': 6657}
27: Namon: {'days_watched': 8, 'mean_score': 7.03, 'watching': 2, 'completed': 33, 'on_hold': 1, 'dropped': 1, 'plan_to_watch': 27, 'total_entries': 64, 'rewatched': 0, 'episodes_watched': 475}
28: Sour-Senpai: {'days_watched': 74.5, 'mean_score': 7.71, 'watching': 1, 'completed': 236, 'on_hold': 3, 'dropped': 0, 'plan_to_watch': 153, 'total_entries': 393, 'rewatched': 0, 'episodes_watched': 4280}
29: Nosreme: {'days_watched': 103, 'mean_score': 6.14, 'watching': 2, 'completed': 384, 'on_hold': 8, 'dropped': 21, 'plan_to_watch': 66, 'total_entries': 481, 'rewatched': 46, 'episodes_watched': 6013}
30: Orazio: {'days_watched': 134.5, 'mean_score': 7.08, 'watching': 38, 'completed': 459, 'on_hold': 3, 'dropped': 49, 'plan_to_watch': 306, 'total_entries': 855, 'rewatched': 8, 'episodes_watched': 8316}
31: BaxterBois: {'days_watched': 81.2, 'mean_score': 7.15, 'watching': 1, 'completed': 254, 'on_hold': 0, 'dropped': 1, 'plan_to_watch': 9, 'total_entries': 265, 'rewatched': 0, 'episodes_watched': 4781}
32: AjXtar: {'days_watched': 163.1, 'mean_score': 7.55, 'watching': 1, 'completed': 683, 'on_hold': 13, 'dropped': 30, 'plan_to_watch': 4, 'total_entries': 731, 'rewatched': 0, 'episodes_watched': 9843}
33: Resputin: {'days_watched': 153.2, 'mean_score': 7.64, 'watching': 14, 'completed': 462, 'on_hold': 8, 'dropped': 32, 'plan_to_watch': 53, 'total_entries': 569, 'rewatched': 14, 'episodes_watched': 9028}
34: RedRaptor10: {'days_watched': 78.4, 'mean_score': 6.87, 'watching': 6, 'completed': 105, 'on_hold': 12, 'dropped': 5, 'plan_to_watch': 164, 'total_entries': 292, 'rewatched': 0, 'episodes_watched': 4673}
35: Ropeburn: {'days_watched': 107.9, 'mean_score': 7, 'watching': 1, 'completed': 384, 'on_hold': 2, 'dropped': 34, 'plan_to_watch': 34, 'total_entries': 455, 'rewatched': 0, 'episodes_watched': 6480}
36: Jacob_With_a_K: {'days_watched': 59, 'mean_score': 7.37, 'watching': 10, 'completed': 230, 'on_hold': 0, 'dropped': 0, 'plan_to_watch': 30, 'total_entries': 270, 'rewatched': 0, 'episodes_watched': 3311}
37: samonus: {'days_watched': 114.5, 'mean_score': 7.06, 'watching': 7, 'completed': 511, 'on_hold': 42, 'dropped': 50, 'plan_to_watch': 45, 'total_entries': 655, 'rewatched': 4, 'episodes_watched': 7156}
38: SAT0rii: {'days_watched': 88.9, 'mean_score': 5.99, 'watching': 2, 'completed': 471, 'on_hold': 2, 'dropped': 0, 'plan_to_watch': 13, 'total_entries': 488, 'rewatched': 8, 'episodes_watched': 5481}
39: Raygun_Arataka: {'days_watched': 42.1, 'mean_score': 7.96, 'watching': 0, 'completed': 140, 'on_hold': 0, 'dropped': 5, 'plan_to_watch': 9, 'total_entries': 154, 'rewatched': 0, 'episodes_watched': 2554}
40: Silenkachan: {'days_watched': 122, 'mean_score': 7.71, 'watching': 29, 'completed': 495, 'on_hold': 16, 'dropped': 15, 'plan_to_watch': 126, 'total_entries': 681, 'rewatched': 0, 'episodes_watched': 7163}
41: -somnus: {'days_watched': 45.7, 'mean_score': 8.29, 'watching': 22, 'completed': 89, 'on_hold': 7, 'dropped': 1, 'plan_to_watch': 20, 'total_entries': 139, 'rewatched': 0, 'episodes_watched': 2925}
42: SteinCr: {'days_watched': 95.7, 'mean_score': 7.61, 'watching': 2, 'completed': 215, 'on_hold': 5, 'dropped': 12, 'plan_to_watch': 29, 'total_entries': 263, 'rewatched': 0, 'episodes_watched': 5854}
43: T22T: {'days_watched': 52, 'mean_score': 7.7, 'watching': 0, 'completed': 207, 'on_hold': 0, 'dropped': 1, 'plan_to_watch': 45, 'total_entries': 253, 'rewatched': 0, 'episodes_watched': 2986}
44: -Umbra-: {'days_watched': 35.1, 'mean_score': 7.77, 'watching': 2, 'completed': 101, 'on_hold': 16, 'dropped': 11, 'plan_to_watch': 88, 'total_entries': 218, 'rewatched': 4, 'episodes_watched': 2124}
45: hebihime: {'days_watched': 181.8, 'mean_score': 7.77, 'watching': 14, 'completed': 419, 'on_hold': 30, 'dropped': 33, 'plan_to_watch': 75, 'total_entries': 571, 'rewatched': 4, 'episodes_watched': 10862}
46: LipstickOnMyDick: {'days_watched': 59.1, 'mean_score': 1.87, 'watching': 22, 'completed': 337, 'on_hold': 0, 'dropped': 12, 'plan_to_watch': 58, 'total_entries': 429, 'rewatched': 0, 'episodes_watched': 3840}
47: VulpesFusca: {'days_watched': 6, 'mean_score': 8.73, 'watching': 8, 'completed': 23, 'on_hold': 0, 'dropped': 0, 'plan_to_watch': 16, 'total_entries': 47, 'rewatched': 0, 'episodes_watched': 372}
48: Zenaire: {'days_watched': 128.3, 'mean_score': 7.82, 'watching': 14, 'completed': 408, 'on_hold': 6, 'dropped': 53, 'plan_to_watch': 68, 'total_entries': 549, 'rewatched': 1, 'episodes_watched': 7645}
49: -ZET-: {'days_watched': 143.6, 'mean_score': 7.38, 'watching': 10, 'completed': 678, 'on_hold': 1, 'dropped': 62, 'plan_to_watch': 19, 'total_entries': 770, 'rewatched': 41, 'episodes_watched': 8625}
50: -Zhongli: {'days_watched': 138.6, 'mean_score': 6.7, 'watching': 9, 'completed': 296, 'on_hold': 0, 'dropped': 7, 'plan_to_watch': 116, 'total_entries': 428, 'rewatched': 0, 'episodes_watched': 8147}
51: -_-Fisher: {'days_watched': 74.9, 'mean_score': 6.81, 'watching': 3, 'completed': 212, 'on_hold': 7, 'dropped': 6, 'plan_to_watch': 260, 'total_entries': 488, 'rewatched': 3, 'episodes_watched': 4599}
52: WhyamIhereWHY: {'days_watched': 77.3, 'mean_score': 6.21, 'watching': 5, 'completed': 180, 'on_hold': 10, 'dropped': 0, 'plan_to_watch': 232, 'total_entries': 427, 'rewatched': 9, 'episodes_watched': 4593}
53: LozBlibliki: {'days_watched': 177.5, 'mean_score': 6.49, 'watching': 31, 'completed': 938, 'on_hold': 1, 'dropped': 0, 'plan_to_watch': 122, 'total_entries': 1092, 'rewatched': 53, 'episodes_watched': 11414}
54: 007_Sterben__: {'days_watched': 121.9, 'mean_score': 8.11, 'watching': 21, 'completed': 535, 'on_hold': 7, 'dropped': 12, 'plan_to_watch': 27, 'total_entries': 602, 'rewatched': 0, 'episodes_watched': 7187}
55: VRedEngineer: {'days_watched': 16.2, 'mean_score': 7.47, 'watching': 0, 'completed': 70, 'on_hold': 2, 'dropped': 3, 'plan_to_watch': 19, 'total_entries': 94, 'rewatched': 1, 'episodes_watched': 925}
56: 01101111: {'days_watched': 134.4, 'mean_score': 6.23, 'watching': 2, 'completed': 503, 'on_hold': 3, 'dropped': 75, 'plan_to_watch': 93, 'total_entries': 676, 'rewatched': 0, 'episodes_watched': 8097}
57: 033054: {'days_watched': 28.7, 'mean_score': 7.63, 'watching': 17, 'completed': 112, 'on_hold': 1, 'dropped': 9, 'plan_to_watch': 9, 'total_entries': 148, 'rewatched': 0, 'episodes_watched': 1731}
58: 063918387: {'days_watched': 130.7, 'mean_score': 8.33, 'watching': 10, 'completed': 394, 'on_hold': 10, 'dropped': 20, 'plan_to_watch': 191, 'total_entries': 625, 'rewatched': 1, 'episodes_watched': 7827}
59: 0827oconnor: {'days_watched': 52.1, 'mean_score': 6.95, 'watching': 2, 'completed': 215, 'on_hold': 3, 'dropped': 14, 'plan_to_watch': 42, 'total_entries': 276, 'rewatched': 25, 'episodes_watched': 2994}
60: 09eragera09: {'days_watched': 156.8, 'mean_score': 7.86, 'watching': 58, 'completed': 439, 'on_hold': 24, 'dropped': 23, 'plan_to_watch': 145, 'total_entries': 689, 'rewatched': 69, 'episodes_watched': 10472}
61: Okeanix: {'days_watched': 115.9, 'mean_score': 4.63, 'watching': 7, 'completed': 350, 'on_hold': 11, 'dropped': 21, 'plan_to_watch': 32, 'total_entries': 421, 'rewatched': 0, 'episodes_watched': 6969}
62: Olcm: {'days_watched': 35.5, 'mean_score': 6.96, 'watching': 16, 'completed': 79, 'on_hold': 19, 'dropped': 16, 'plan_to_watch': 68, 'total_entries': 198, 'rewatched': 11, 'episodes_watched': 2130}
63: HowYouDo: {'days_watched': 104.3, 'mean_score': 7.25, 'watching': 7, 'completed': 295, 'on_hold': 16, 'dropped': 49, 'plan_to_watch': 215, 'total_entries': 582, 'rewatched': 0, 'episodes_watched': 6316}
64: Omnommy: {'days_watched': 113.7, 'mean_score': 5.98, 'watching': 10, 'completed': 511, 'on_hold': 25, 'dropped': 45, 'plan_to_watch': 701, 'total_entries': 1292, 'rewatched': 35, 'episodes_watched': 7060}
65: CantStopHodoring: {'days_watched': 178.8, 'mean_score': 6.84, 'watching': 19, 'completed': 662, 'on_hold': 9, 'dropped': 22, 'plan_to_watch': 43, 'total_entries': 755, 'rewatched': 50, 'episodes_watched': 10820}
66: 0MN1DR01D: {'days_watched': 16, 'mean_score': 8.38, 'watching': 13, 'completed': 62, 'on_hold': 38, 'dropped': 14, 'plan_to_watch': 160, 'total_entries': 287, 'rewatched': 0, 'episodes_watched': 902}
67: Omnicious: {'days_watched': 307.9, 'mean_score': 7.06, 'watching': 30, 'completed': 1228, 'on_hold': 52, 'dropped': 3, 'plan_to_watch': 3598, 'total_entries': 4911, 'rewatched': 19, 'episodes_watched': 20006}
68: OneTwoTree: {'days_watched': 54.7, 'mean_score': 7.08, 'watching': 31, 'completed': 133, 'on_hold': 14, 'dropped': 37, 'plan_to_watch': 123, 'total_entries': 338, 'rewatched': 0, 'episodes_watched': 3300}
69: Klamby: {'days_watched': 47.2, 'mean_score': 6.47, 'watching': 7, 'completed': 210, 'on_hold': 14, 'dropped': 5, 'plan_to_watch': 178, 'total_entries': 414, 'rewatched': 0, 'episodes_watched': 2859}
70: Orbii: {'days_watched': 125, 'mean_score': 6.32, 'watching': 74, 'completed': 325, 'on_hold': 161, 'dropped': 95, 'plan_to_watch': 141, 'total_entries': 796, 'rewatched': 128, 'episodes_watched': 7334}
71: 0re0n: {'days_watched': 22.9, 'mean_score': 8.54, 'watching': 3, 'completed': 73, 'on_hold': 0, 'dropped': 4, 'plan_to_watch': 0, 'total_entries': 80, 'rewatched': 0, 'episodes_watched': 1330}
72: 0rzammar: {'days_watched': 131.6, 'mean_score': 6.59, 'watching': 5, 'completed': 406, 'on_hold': 4, 'dropped': 0, 'plan_to_watch': 178, 'total_entries': 593, 'rewatched': 30, 'episodes_watched': 7821}
73: 0sako: {'days_watched': 223.2, 'mean_score': 9.86, 'watching': 4, 'completed': 572, 'on_hold': 30, 'dropped': 43, 'plan_to_watch': 144, 'total_entries': 793, 'rewatched': 56, 'episodes_watched': 13517}
74: 0taylor: {'days_watched': 117.3, 'mean_score': 8.12, 'watching': 16, 'completed': 296, 'on_hold': 4, 'dropped': 25, 'plan_to_watch': 55, 'total_entries': 396, 'rewatched': 0, 'episodes_watched': 6979}
75: 0uranos: {'days_watched': 66.2, 'mean_score': 7.71, 'watching': 8, 'completed': 100, 'on_hold': 8, 'dropped': 5, 'plan_to_watch': 29, 'total_entries': 150, 'rewatched': 17, 'episodes_watched': 3951}
76: 0x00000539: {'days_watched': 68.1, 'mean_score': 7.51, 'watching': 6, 'completed': 227, 'on_hold': 3, 'dropped': 32, 'plan_to_watch': 129, 'total_entries': 397, 'rewatched': 0, 'episodes_watched': 4106}
77: Aquamarine3154: {'days_watched': 16.8, 'mean_score': 7.89, 'watching': 0, 'completed': 77, 'on_hold': 6, 'dropped': 8, 'plan_to_watch': 42, 'total_entries': 133, 'rewatched': 3, 'episodes_watched': 961}
78: Schwickle: {'days_watched': 43.4, 'mean_score': 7.05, 'watching': 0, 'completed': 127, 'on_hold': 44, 'dropped': 30, 'plan_to_watch': 192, 'total_entries': 393, 'rewatched': 3, 'episodes_watched': 2535}
79: Ferrose: {'days_watched': 41, 'mean_score': 7.21, 'watching': 22, 'completed': 146, 'on_hold': 7, 'dropped': 48, 'plan_to_watch': 71, 'total_entries': 294, 'rewatched': 1, 'episodes_watched': 2421}
80: Nobodyisnobody: {'days_watched': 112.9, 'mean_score': 8.5, 'watching': 6, 'completed': 242, 'on_hold': 8, 'dropped': 4, 'plan_to_watch': 58, 'total_entries': 318, 'rewatched': 0, 'episodes_watched': 6808}
81: 123kyran123: {'days_watched': 64.8, 'mean_score': 6.93, 'watching': 4, 'completed': 350, 'on_hold': 1, 'dropped': 29, 'plan_to_watch': 38, 'total_entries': 422, 'rewatched': 13, 'episodes_watched': 4008}
82: Bored-n-grumpy: {'days_watched': 49.4, 'mean_score': 6.25, 'watching': 2, 'completed': 142, 'on_hold': 0, 'dropped': 13, 'plan_to_watch': 13, 'total_entries': 170, 'rewatched': 0, 'episodes_watched': 2883}
83: 13btwinturbo: {'days_watched': 285.5, 'mean_score': 6.55, 'watching': 18, 'completed': 755, 'on_hold': 6, 'dropped': 57, 'plan_to_watch': 22, 'total_entries': 858, 'rewatched': 0, 'episodes_watched': 17658}
84: 13_Thieves: {'days_watched': 126.6, 'mean_score': 5.34, 'watching': 1, 'completed': 557, 'on_hold': 0, 'dropped': 114, 'plan_to_watch': 0, 'total_entries': 672, 'rewatched': 4, 'episodes_watched': 7587}
85: LustKamisama: {'days_watched': 76.4, 'mean_score': 6.66, 'watching': 2, 'completed': 196, 'on_hold': 0, 'dropped': 54, 'plan_to_watch': 8, 'total_entries': 260, 'rewatched': 0, 'episodes_watched': 4511}
86: 14hellraiser: {'days_watched': 229.7, 'mean_score': 0, 'watching': 16, 'completed': 1219, 'on_hold': 68, 'dropped': 2, 'plan_to_watch': 10, 'total_entries': 1315, 'rewatched': 56, 'episodes_watched': 13555}
87: bdwyer19: {'days_watched': 39.8, 'mean_score': 7.62, 'watching': 9, 'completed': 160, 'on_hold': 12, 'dropped': 5, 'plan_to_watch': 206, 'total_entries': 392, 'rewatched': 12, 'episodes_watched': 2247}
88: 15Pandabears: {'days_watched': 9.9, 'mean_score': 6.67, 'watching': 26, 'completed': 51, 'on_hold': 4, 'dropped': 6, 'plan_to_watch': 51, 'total_entries': 138, 'rewatched': 0, 'episodes_watched': 607}
89: Jjjanar: {'days_watched': 39, 'mean_score': 7.72, 'watching': 8, 'completed': 81, 'on_hold': 0, 'dropped': 5, 'plan_to_watch': 4, 'total_entries': 98, 'rewatched': 3, 'episodes_watched': 2315}
90: 16ind: {'days_watched': 57.3, 'mean_score': 7.93, 'watching': 8, 'completed': 195, 'on_hold': 7, 'dropped': 12, 'plan_to_watch': 44, 'total_entries': 266, 'rewatched': 0, 'episodes_watched': 3531}
91: 18bumpercar: {'days_watched': 89.8, 'mean_score': 6.85, 'watching': 4, 'completed': 308, 'on_hold': 0, 'dropped': 2, 'plan_to_watch': 28, 'total_entries': 342, 'rewatched': 0, 'episodes_watched': 5376}
92: 1998tweety: {'days_watched': 44.5, 'mean_score': 6.62, 'watching': 30, 'completed': 595, 'on_hold': 222, 'dropped': 53, 'plan_to_watch': 826, 'total_entries': 1726, 'rewatched': 0, 'episodes_watched': 5356}
93: 1ans2no1: {'days_watched': 34.8, 'mean_score': 6.83, 'watching': 4, 'completed': 125, 'on_hold': 2, 'dropped': 101, 'plan_to_watch': 76, 'total_entries': 308, 'rewatched': 1, 'episodes_watched': 2139}
94: 1c3m4nz: {'days_watched': 77, 'mean_score': 7.56, 'watching': 7, 'completed': 138, 'on_hold': 8, 'dropped': 30, 'plan_to_watch': 184, 'total_entries': 367, 'rewatched': 5, 'episodes_watched': 4539}
95: Totesnotaphanpy: {'days_watched': 34.6, 'mean_score': 7.68, 'watching': 9, 'completed': 142, 'on_hold': 16, 'dropped': 1, 'plan_to_watch': 1, 'total_entries': 169, 'rewatched': 0, 'episodes_watched': 2021}
96: IgniteLOL: {'days_watched': 57.7, 'mean_score': 7.48, 'watching': 15, 'completed': 217, 'on_hold': 11, 'dropped': 6, 'plan_to_watch': 12, 'total_entries': 261, 'rewatched': 0, 'episodes_watched': 3401}
97: 1haru1: {'days_watched': 135.1, 'mean_score': 7.92, 'watching': 7, 'completed': 349, 'on_hold': 2, 'dropped': 6, 'plan_to_watch': 21, 'total_entries': 385, 'rewatched': 0, 'episodes_watched': 9035}
98: Sorakie: {'days_watched': 69.3, 'mean_score': 7.62, 'watching': 3, 'completed': 311, 'on_hold': 2, 'dropped': 8, 'plan_to_watch': 32, 'total_entries': 356, 'rewatched': 0, 'episodes_watched': 4066}
99: 1LucKyLuke: {'days_watched': 224.1, 'mean_score': 6.36, 'watching': 2, 'completed': 914, 'on_hold': 2, 'dropped': 0, 'plan_to_watch': 387, 'total_entries': 1305, 'rewatched': 114, 'episodes_watched': 12954}
100: daemonblood: {'days_watched': 113.6, 'mean_score': 7.48, 'watching': 7, 'completed': 259, 'on_hold': 7, 'dropped': 6, 'plan_to_watch': 52, 'total_entries': 331, 'rewatched': 0, 'episodes_watched': 6770}
101: 1nfinite_Zer0: {'days_watched': 118.5, 'mean_score': 7.46, 'watching': 7, 'completed': 395, 'on_hold': 19, 'dropped': 84, 'plan_to_watch': 75, 'total_entries': 580, 'rewatched': 124, 'episodes_watched': 7196}
102: Jakuhai: {'days_watched': 190.5, 'mean_score': 4.99, 'watching': 6, 'completed': 890, 'on_hold': 4, 'dropped': 243, 'plan_to_watch': 187, 'total_entries': 1330, 'rewatched': 33, 'episodes_watched': 11681}
103: Glasgowghost1967: {'days_watched': 19, 'mean_score': 8.3, 'watching': 2, 'completed': 79, 'on_hold': 1, 'dropped': 3, 'plan_to_watch': 83, 'total_entries': 168, 'rewatched': 0, 'episodes_watched': 1123}
104: 1sonic606: {'days_watched': 13.4, 'mean_score': 7.92, 'watching': 1, 'completed': 24, 'on_hold': 3, 'dropped': 6, 'plan_to_watch': 39, 'total_entries': 73, 'rewatched': 14, 'episodes_watched': 801}
105: Agent233: {'days_watched': 87.9, 'mean_score': 6.11, 'watching': 3, 'completed': 329, 'on_hold': 9, 'dropped': 2, 'plan_to_watch': 44, 'total_entries': 387, 'rewatched': 1, 'episodes_watched': 5422}
106: 20thcbnow: {'days_watched': 81, 'mean_score': 6.18, 'watching': 6, 'completed': 332, 'on_hold': 3, 'dropped': 31, 'plan_to_watch': 206, 'total_entries': 578, 'rewatched': 0, 'episodes_watched': 4937}
107: 26muel: {'days_watched': 461.4, 'mean_score': 7.7, 'watching': 268, 'completed': 608, 'on_hold': 0, 'dropped': 9, 'plan_to_watch': 324, 'total_entries': 1209, 'rewatched': 524, 'episodes_watched': 29637}
108: Sir_Jaeger: {'days_watched': 18.7, 'mean_score': 7.71, 'watching': 1, 'completed': 69, 'on_hold': 2, 'dropped': 3, 'plan_to_watch': 277, 'total_entries': 352, 'rewatched': 1, 'episodes_watched': 1051}
109: ltalabucon: {'days_watched': 72.3, 'mean_score': 7.2, 'watching': 12, 'completed': 294, 'on_hold': 33, 'dropped': 39, 'plan_to_watch': 170, 'total_entries': 548, 'rewatched': 1, 'episodes_watched': 4256}
110: 2fast2fed: {'days_watched': 65, 'mean_score': 7.56, 'watching': 2, 'completed': 217, 'on_hold': 12, 'dropped': 20, 'plan_to_watch': 94, 'total_entries': 345, 'rewatched': 44, 'episodes_watched': 3787}
111: 2hu4u: {'days_watched': 36.6, 'mean_score': 6.06, 'watching': 3, 'completed': 179, 'on_hold': 0, 'dropped': 40, 'plan_to_watch': 15, 'total_entries': 237, 'rewatched': 18, 'episodes_watched': 2208}
